,bIDs,heat
781,1115,10
782,1116,10
783,1117,10
784,1118,10
785,1119,10
786,1120,10
787,1121,10
788,1123,10
789,1124,10
790,1125,10
791,1126,10
792,1128,10
793,1130,10
794,1131,10
795,1133,10
796,1135,10
797,1136,10
798,1138,10
799,1139,10
800,1140,10
801,1141,10
802,1142,10
803,1143,10
804,1144,10
805,1145,10
806,1146,10
807,1147,10
808,1148,10
809,1149,10
810,1150,10
811,1152,10
812,1153,10
813,1155,10
814,1156,10
815,1158,10
816,1160,10
817,1161,10
818,1162,10
819,1164,10
820,1165,10
821,1166,10
822,1168,10
823,1169,10
824,1171,10
825,1175,10
826,1179,10
827,1180,10
828,1181,10
829,1182,10
830,1184,10
831,1185,10
832,1186,10
833,1187,10
834,1188,10
835,1189,10
836,1191,10
837,1193,10
838,1195,10
839,1196,10
840,1197,10
841,1198,10
842,1199,10
843,1200,10
844,1201,10
845,1204,10
846,1205,10
847,1207,10
848,1210,10
849,1211,10
850,1212,10
851,1214,10
852,1215,10
853,1217,10
854,1220,10
855,1222,10
856,1223,10
857,1224,10
858,1225,10
859,1227,10
860,1229,10
861,1232,10
862,1233,10
863,1234,10
864,1237,10
865,1238,10
866,1239,10
867,1240,10
868,1241,10
869,1245,10
870,1246,10
871,1247,10
872,1248,10
873,1249,10
874,1250,10
875,1251,10
876,1255,10
877,1258,10
878,1259,10
879,1260,10
880,1261,10
881,1262,10
882,1263,10
883,1264,10
884,1265,10
885,1266,10
886,1267,10
887,1269,10
888,1270,10
889,1271,10
890,1272,10
891,1273,10
892,1274,10
893,1275,10
894,1276,10
895,1278,10
896,1279,10
897,1281,10
898,1286,10
899,1287,10
900,1288,10
901,1289,10
902,1290,10
903,1292,10
904,1296,10
905,1297,10
906,1298,10
907,1299,10
908,1300,10
909,1301,10
910,1302,10
911,1303,10
912,1304,10
913,1305,10
914,1306,10
915,1307,10
916,1308,10
917,1309,10
918,1310,10
919,1312,10
920,1313,10
921,1314,10
922,1317,10
923,1320,10
924,1322,10
925,1323,10
926,1324,10
927,1325,10
928,1327,10
929,1328,10
930,1329,10
931,1331,10
932,1332,10
933,1333,10
934,1335,10
935,1336,10
936,1337,10
937,1338,10
938,1339,10
939,1340,10
940,1341,10
941,1342,10
942,1345,10
943,1346,10
944,1349,10
945,1351,10
946,1352,10
947,1353,10
948,1354,10
949,1355,10
950,1356,10
951,1357,10
952,1358,10
953,1360,10
954,1363,10
955,1364,10
956,1365,10
957,1366,10
958,1369,10
959,1371,10
960,1372,10
961,1373,10
962,1374,10
963,1375,10
964,1376,10
965,1377,10
966,1380,10
967,1381,10
968,1382,10
969,1384,10
970,1385,10
971,1386,10
972,1388,10
973,1391,10
974,1392,10
975,1393,10
976,1394,10
977,1395,10
978,1396,10
979,1399,10
980,1401,10
981,1403,10
982,1404,10
983,1406,10
984,1407,10
985,1408,10
986,1411,10
987,1412,10
988,1413,10
989,1415,10
990,1416,10
991,1417,10
992,1418,10
993,1419,10
994,1420,10
995,1423,10
996,1424,10
997,1425,10
998,1427,10
999,1428,10
1000,1429,10
1001,1430,10
1002,1431,10
1003,1432,10
1004,1433,10
1005,1434,10
1006,1435,10
1007,1436,10
1008,1437,10
1009,1438,10
1010,1439,10
1011,1440,10
1012,1441,10
1013,1442,10
1014,1443,10
1015,1444,10
1016,1445,10
1017,1446,10
1018,1447,10
1019,1449,10
1020,1450,10
1021,1452,10
1022,1453,10
1023,1454,10
1024,1455,10
1025,1456,10
1026,1457,10
1027,1458,10
1028,1460,10
1029,1461,10
1030,1463,10
1031,1464,10
1032,1465,10
1033,1466,10
1034,1467,10
1035,1468,10
1036,1469,10
1037,1470,10
1038,1472,10
1039,1473,10
1040,1474,10
1041,1475,10
1042,1476,10
1043,1477,10
1044,1478,10
1045,1480,10
1046,1481,10
1047,1482,10
1048,1483,10
1049,1484,10
1050,1485,10
1051,1486,10
1052,1487,10
1053,1489,10
1054,1490,10
1055,1491,10
1056,1492,10
1057,1494,10
1058,1496,10
1059,1497,10
1060,1501,10
1061,1503,10
1062,1504,10
1063,1505,10
1064,1506,10
1065,1507,10
1066,1508,10
1067,1509,10
1068,1510,10
1069,1511,9
1070,1513,10
1071,1514,10
1072,1516,10
1073,1517,10
1074,1518,10
1075,1519,10
1076,1520,10
1077,1521,10
1078,1522,10
1079,1524,10
1080,1525,10
1081,1528,10
1082,1533,10
1083,1535,10
1084,1536,10
1085,1537,10
1086,1538,10
1087,1539,10
1088,1540,10
1089,1541,10
1090,1542,10
1091,1544,10
1092,1548,10
1093,1549,10
1094,1550,10
1095,1551,10
1096,1554,10
1097,1555,10
1098,1558,10
1099,1559,10
1100,1561,10
1101,1562,10
1102,1563,10
1103,1565,10
1104,1567,10
1105,1568,10
1106,1569,10
1107,1570,10
1108,1571,10
1109,1574,10
1110,1576,10
1111,1578,10
1112,1579,10
1113,1580,10
1114,1581,10
1115,1582,10
1116,1583,10
1117,1584,10
1118,1587,10
1119,1588,10
1120,1590,10
1121,1591,10
1122,1593,10
1123,1594,10
1124,1595,10
1125,1596,10
1126,1599,10
1127,1601,10
1128,1603,10
1129,1604,10
1130,1605,10
1131,1606,10
1132,1607,10
1133,1608,10
1134,1609,10
1135,1610,10
1136,1612,10
1137,1613,10
1138,1614,10
1139,1615,10
1140,1617,10
1141,1620,10
1142,1624,10
1143,1625,10
1144,1626,10
1145,1628,10
1146,1629,10
1147,1633,10
1148,1635,10
1149,1637,10
1150,1640,10
1151,1643,10
1152,1646,10
1153,1647,10
1154,1649,10
1155,1650,10
1156,1651,10
1157,1652,10
1158,1653,10
1159,1654,10
1160,1656,10
1161,1658,10
1162,1659,10
1163,1660,10
1164,1661,10
1165,1662,10
1166,1663,10
1167,1664,10
1168,1666,10
1169,1668,10
1170,1671,10
1171,1672,10
1172,1674,10
1173,1675,10
1174,1676,10
1175,1677,9
1176,1678,10
1177,1679,10
1178,1681,10
1179,1683,10
1180,1684,10
1181,1685,10
1182,1686,10
1183,1687,10
1184,1690,10
1185,1693,10
1186,1694,10
1187,1695,10
1188,1696,10
1189,1698,10
1190,1700,10
1191,1701,10
1192,1702,10
1193,1704,10
1194,1705,10
1195,1707,10
1196,1708,10
1197,1711,10
1198,1713,10
1199,1714,10
1200,1716,10
1201,1718,10
1202,1719,10
1203,1720,10
1204,1721,10
1205,1722,10
1206,1723,10
1207,1726,10
1208,1727,10
1209,1728,10
1210,1729,10
1211,1730,10
1212,1731,10
1213,1732,10
1214,1733,10
